User Id,Datetime,Amount
1,18-10-2022 23:42,5000
2,01-10-2022 17:31,40000
2,02-10-2022 12:58,5000
2,06-10-2022 02:21,40000
2,08-10-2022 00:52,40000
2,08-10-2022 07:21,5000
2,08-10-2022 16:23,5000
2,09-10-2022 20:18,40000
2,11-10-2022 04:19,10000
2,12-10-2022 01:47,40000
2,14-10-2022 15:56,40000
2,17-10-2022 17:28,2000
2,18-10-2022 20:06,40000
2,19-10-2022 22:37,40000
2,23-10-2022 10:46,5000
2,25-10-2022 12:42,40000
2,26-10-2022 20:11,50000
2,26-10-2022 22:07,40000
2,30-10-2022 21:33,5000
2,31-10-2022 16:44,40000
2,31-10-2022 23:58,40000
3,04-10-2022 04:37,10000
3,19-10-2022 01:56,10000
3,24-10-2022 23:43,10000
3,27-10-2022 12:21,10000
4,06-10-2022 20:10,1750
5,01-10-2022 09:07,500
5,01-10-2022 11:25,500
5,01-10-2022 13:59,1000
5,02-10-2022 09:17,600
5,02-10-2022 16:03,2000
5,04-10-2022 03:11,500
5,04-10-2022 07:54,2000
5,04-10-2022 20:44,2000
5,05-10-2022 01:13,500
5,05-10-2022 19:58,500
5,07-10-2022 04:55,500
5,07-10-2022 17:53,2000
5,08-10-2022 19:34,500
5,09-10-2022 00:17,500
5,10-10-2022 18:57,500
5,10-10-2022 21:52,500
5,11-10-2022 01:53,2000
5,11-10-2022 09:44,1000
5,11-10-2022 23:43,500
5,12-10-2022 04:23,2000
5,14-10-2022 08:44,500
5,14-10-2022 10:51,2000
5,14-10-2022 15:39,500
5,15-10-2022 05:49,2000
5,16-10-2022 09:41,500
5,16-10-2022 12:28,500
5,16-10-2022 19:43,500
5,17-10-2022 06:13,500
5,17-10-2022 15:59,1000
5,17-10-2022 22:01,1000
5,19-10-2022 02:23,1000
5,19-10-2022 23:13,2000
5,20-10-2022 03:32,500
5,20-10-2022 08:24,500
5,20-10-2022 08:38,500
5,20-10-2022 22:01,500
5,21-10-2022 02:19,1000
5,21-10-2022 08:17,1000
5,21-10-2022 17:10,5000
5,23-10-2022 00:27,500
5,23-10-2022 08:23,500
5,23-10-2022 14:31,500
5,23-10-2022 15:00,5000
5,23-10-2022 17:21,500
5,23-10-2022 18:18,1000
5,23-10-2022 20:16,500
5,24-10-2022 05:41,1000
5,24-10-2022 06:11,500
5,25-10-2022 11:38,2000
5,25-10-2022 20:42,500
5,26-10-2022 04:01,1500
5,26-10-2022 06:37,500
5,26-10-2022 16:51,1000
5,27-10-2022 02:30,500
5,27-10-2022 05:21,500
5,27-10-2022 06:12,500
5,27-10-2022 10:32,2000
5,27-10-2022 12:14,500
5,27-10-2022 22:04,2000
5,27-10-2022 22:18,5000
5,28-10-2022 19:31,1000
5,28-10-2022 22:58,2000
5,28-10-2022 23:21,500
5,29-10-2022 06:37,1000
5,30-10-2022 12:35,500
5,30-10-2022 23:55,1000
5,31-10-2022 18:43,500
6,02-10-2022 07:20,4000
6,04-10-2022 16:24,500
6,07-10-2022 00:34,3000
6,08-10-2022 19:07,500
6,10-10-2022 00:18,1000
6,25-10-2022 18:55,200
6,27-10-2022 16:41,100
9,01-10-2022 01:27,1693
9,01-10-2022 01:33,1752
9,01-10-2022 17:46,1962
9,02-10-2022 00:26,2000
9,02-10-2022 07:35,1587
9,02-10-2022 15:27,1485
9,02-10-2022 17:19,1782
9,04-10-2022 00:50,1324
9,04-10-2022 01:31,1960
9,04-10-2022 11:18,1999
9,04-10-2022 11:23,1953
9,04-10-2022 18:59,1161
9,04-10-2022 23:26,1994
9,05-10-2022 04:56,1962
9,05-10-2022 07:03,1994
9,05-10-2022 11:48,1999
9,05-10-2022 14:02,2000
9,05-10-2022 17:21,1674
9,05-10-2022 23:14,2000
9,06-10-2022 01:57,2000
9,06-10-2022 23:39,2000
9,07-10-2022 00:58,1962
9,07-10-2022 02:18,230
9,08-10-2022 00:06,1395
9,08-10-2022 03:09,1925
9,08-10-2022 13:47,1395
9,09-10-2022 01:15,2000
9,09-10-2022 05:53,1995
9,09-10-2022 11:26,2000
9,09-10-2022 12:48,1962
9,09-10-2022 13:49,2000
9,09-10-2022 15:34,1962
9,09-10-2022 19:14,1346
9,09-10-2022 23:31,1957
9,10-10-2022 16:54,1995
9,11-10-2022 01:46,1807
9,11-10-2022 05:09,2000
9,11-10-2022 06:16,1953
9,11-10-2022 06:59,2001
9,11-10-2022 12:11,1602
9,11-10-2022 19:11,1991
9,12-10-2022 10:40,1924
9,12-10-2022 19:48,1700
9,13-10-2022 13:04,1664
9,13-10-2022 17:25,1962
9,14-10-2022 05:02,2000
9,14-10-2022 15:37,2000
9,14-10-2022 17:42,2000
9,14-10-2022 23:52,1999
9,15-10-2022 08:10,1996
9,15-10-2022 11:25,1647
9,15-10-2022 12:49,1485
9,15-10-2022 21:37,2000
9,15-10-2022 23:37,2000
9,16-10-2022 00:12,2000
9,16-10-2022 06:21,2000
9,16-10-2022 07:05,1989
9,16-10-2022 08:52,1550
9,16-10-2022 21:54,2000
9,17-10-2022 07:43,1874
9,17-10-2022 08:20,230
9,17-10-2022 09:09,1900
9,17-10-2022 09:18,230
9,17-10-2022 09:30,2000
9,17-10-2022 16:05,2000
9,18-10-2022 17:13,1403
9,18-10-2022 23:23,1699
9,19-10-2022 05:20,1834
9,19-10-2022 08:58,2000
9,20-10-2022 06:17,2000
9,20-10-2022 13:26,2000
9,20-10-2022 16:52,1324
9,20-10-2022 21:43,2000
9,20-10-2022 22:06,1696
9,21-10-2022 09:22,200
9,21-10-2022 17:40,1859
9,21-10-2022 19:52,1997
9,22-10-2022 15:38,2000
9,22-10-2022 17:42,2000
9,23-10-2022 12:46,1969
